정류소명,경도,위도
성동공업고등학교(무궁화회관),127.0157558,37.56834819
성동공업고등학교앞,127.0161295,37.56869506
신당역1번출구.서울중앙시장,127.0187427,37.56572828
신당역4번출구.서울중앙시장,127.0194795,37.56549207
성동고등학교,127.0221822,37.56559419
성동고등학교,127.0223979,37.56524109
신당동떡볶이타운.중구여성플라자,127.015096,37.56279546
신당동떡볶이타운.중구여성플라자,127.0151909,37.56231004
청구초등학교.청구역,127.0132161,37.5589483
장충초등학교.청구역,127.0130317,37.5592574
약수역2번출구.가온도서관,127.0110429,37.55579291
약수역3번출구.약수하이츠,127.0113797,37.55574961
약수역4번출구.금호터널입구,127.012012,37.553399
약수역5번출구.금호터널입구,127.0118693,37.55292373
약수역8번출구.신당사회복지관,127.0099567,37.55386465
약수역7번출구.약수동주민센터,127.0092978,37.55285097
송도병원앞,127.0077187,37.55026765
송도병원앞,127.0073984,37.55022712
약수역1번출구,127.0097556,37.55625253
장충체육관앞,127.0080611,37.55833622
장충체육관앞,127.0078282,37.55800173
장충동.동국대입구,127.0059098,37.56062132
장충동.동국대입구,127.0056291,37.56066639
퇴계로6가,127.0039011,37.56340113
퇴계로6가,127.0033758,37.56352844
퇴계로5가,126.999966,37.56238041
퇴계로5가,126.9997252,37.56278042
국립극장.반얀트리호텔,127.0010947,37.55148182
국립극장.반얀트리호텔,127.0007526,37.55153396
청구역2번출구,127.0146561,37.55996006
청구역3번출구,127.0142192,37.55993038
동화동,127.0181258,37.56002447
동화동,127.0182737,37.55981268
백범광장,126.980093,37.555737
남대문경찰서,126.9738404,37.55412819
남대문시장앞.이회영활동터,126.9785804,37.56093942
남산케이블카.남산산책로입구,126.9839798,37.55526518
동대입구역.장충동,127.005445,37.558362
약수역10번출구,127.009322,37.556256
청계1가.광교,126.9833922,37.56857079
청계2가.삼일교,126.9885302,37.56784047
청계4가.배오개다리,126.9971755,37.56848437
청계5가.방산시장,127.0008266,37.56921496
청계6가.평화시장,127.0043806,37.56944119
청계7가.동평화.청평화시장,127.0138508,37.56951354
청계8가.영도교,127.0189972,37.57072592
신한은행본점,126.9755852,37.56119655
퇴계로2가.명동역7번출구,126.985336,37.560988
동대문역사문화공원,127.0091092,37.56541133
버티고개,127.0060242,37.54780415
버티고개,127.0061899,37.54765049
청계3가.관수교,126.9929651,37.56821346
청계6가.오간수교,127.0090361,37.56948518
충무로역.매일경제,126.9933889,37.56169057
을지로입구역.광교,126.9825656,37.56764926
신당파인힐하나유보라,127.024856,37.56498098
명동입구,126.9824744,37.56472274
남산북측순환로입구,126.9988218,37.55069862
신당동삼성아파트.금호여중,127.0187299,37.5585545
신당동대우푸르지오.금호여중,127.0192882,37.55780783
황학동주민센터,127.0234024,37.56685562
신당초등학교앞,127.0239173,37.56448134
금호베스트빌.래미안하이베르,127.0240513,37.56164521
금호베스트빌.래미안하이베르,127.0243472,37.56225445
신당초등학교,127.0242404,37.56450284
방산종합시장,127.0019301,37.56780587
황학동롯데캐슬,127.022034,37.57166017
광희문.광희동사거리,127.008611,37.56454992
광희문.광희동사거리,127.0096779,37.56440161
황학동롯데캐슬,127.0232959,37.57081975
한국은행.신세계앞,126.97929,37.56140811
서울기동대.광희초등학교,127.0144829,37.56792221
동대문디자인플라자,127.0119962,37.56770075
서대문역사거리.농협중앙회,126.9679803,37.56688486
서울스퀘어앞,126.9732317,37.55534163
북창동.남대문시장,126.9769187,37.56084629
힐튼호텔,126.9765672,37.55636774
힐튼호텔,126.9767113,37.55662674
시청앞.덕수궁,126.9768356,37.56621228
남대문세무서.국가인권위원회,126.9878661,37.56508396
장충문화체육센터.권기옥활동터,127.0025921,37.5601745
남산1호터널,126.9921666,37.55740518
남산예장버스환승주차장,126.989289,37.55974
약수역.3.6호선,127.0117056,37.55330466
조선일보,126.9768831,37.56873398
시청역,126.97701,37.566031
서울역,126.9713291,37.55820126
숭례문앞,126.9762361,37.56151644
프레스센터,126.9773391,37.56739609
신당역하나은행,127.0215879,37.56542311
염천교,126.9711137,37.55979257
한국경제신문사,126.9679526,37.56093341
응봉근린공원.금호산,127.016919,37.5535217
서울방송고등학교.남산타운아파트,127.0124098,37.54958602
서울방송고등학교.남산타운아파트,127.0122784,37.54961194
중구청소년센터.남산타운2상가,127.0127512,37.55165491
중구청소년센터.남산타운2상가,127.0121656,37.55190274
약수시장.남산타운동문,127.01085,37.55173322
약수지구대,127.0119578,37.5528411
남대문시장,126.9793973,37.56142846
을지로입구역롯데호텔,126.9803053,37.56580472
소공동웨스틴조선호텔,126.9796461,37.56451783
서울광장,126.978885,37.565352
광화문코리아나호텔,126.9769075,37.56840139
서소문KAL빌딩,126.9743183,37.56333874
동국대입구앰배서더호텔,127.0026102,37.55977171
광화문,126.9769068,37.568799
시청덕수궁,126.976921,37.566254
바비엥스위트,126.9676373,37.56510899
서울역,126.9728596,37.55781956
명동역.세종호텔,126.9864493,37.56108601
충무로역.호텔피제이,126.9955605,37.56171802
남대문시장,126.9787309,37.56096738
이비스엠버서더호텔,126.9823877,37.56435343
프레이저플레이스,126.9692683,37.56284768
서울역,126.971336,37.55816
아카시아호텔.웨스턴코업레지던스,127.0034787,37.56655061
을지로코업레지던스,127.0053975,37.56623336
토요코인호텔.이비스버젯호텔,127.0089473,37.56459135
약수역,127.0098978,37.55378896
남산밀레니엄힐튼호텔,126.9759753,37.55546657
서울역,126.9720457,37.5580158
숭례문라마다&스위트호텔,126.9720685,37.56061096
시청역더플라자호텔,126.9779059,37.5641562
시청.서울신문사,126.9773647,37.56829932
프레이저플레이스남대문,126.9762666,37.561376
프레이저플레이스남대문,126.9755366,37.56106678
동대문역사문화공원,127.0092451,37.56538519
광희동더스프라지르서울동대문,127.0075553,37.56473333
동대문디자인플라자DDP,127.0092138,37.56785291
베이튼호텔,127.0026364,37.56499932
광화문,126.9768853,37.56894357
덕수궁,126.976925,37.566106
남대문시장,126.9753967,37.56092315
명동,126.9856195,37.56075833
남산골한옥마을,126.9924384,37.56099506
앰버서더호텔,127.0026254,37.5604635
신라호텔,127.0054272,37.5583034
동대문디자인플라자.동대문시장,127.0085549,37.5668754
동대문디자인프라자,127.0091304,37.56776256
방산.중부시장,126.9994423,37.56685688
을지로3가,126.9923256,37.56653491
을지로입구,126.9810013,37.56613096
명동입구,126.9823016,37.56415262
신당동중앙시장,127.0194166,37.56575532
남산오르미,126.9831349,37.55819405
한강대교북단.LG유플러스,126.963121,37.52404994
한강대교북단.LG유플러스,126.9631848,37.52430606
신용산역,126.966207,37.527293
신용산역,126.9666192,37.52792049
용산우체국,126.970235,37.53149701
용산우체국,126.9705641,37.53205037
삼각지역,126.9736858,37.53518014
삼각지역,126.9741609,37.5359845
숙대입구역,126.9725378,37.54329563
숙대입구역,126.9722321,37.54375602
갈월동,126.9722373,37.5509756
갈월동,126.9717082,37.54953372
남영역,126.9719272,37.54200692
남영역,126.972069,37.541823
신용산역3번출구,126.9673498,37.52888957
서울드래곤시티,126.9630604,37.53215669
용산역3번출구.용산차고지,126.9642146,37.53180791
한강대교북단,126.9635707,37.52496899
서계동,126.9693405,37.5524743
서계동,126.969222,37.5516705
청파동,126.970122,37.54899162
청파시장,126.9698626,37.54867903
숙대입구역.청파동주민센터,126.9707772,37.54538125
숙대입구역.청파동주민센터,126.9704189,37.54548616
남영역,126.971032,37.540813
남영역,126.9706761,37.54057027
용산전자상가17동,126.9660271,37.53377926
용산전자상가19동,126.9657072,37.53351349
용산전자상가10동,126.9619641,37.5332725
용산전자상가12동,126.962169,37.53305741
용산전자상가.전자랜드,126.9583252,37.53277906
용산전자상가.전자랜드,126.9583364,37.53305612
원효대교북단,126.956111,37.53198537
용산경찰서,126.9691858,37.54050321
용산경찰서,126.9690615,37.53999946
용산꿈나무종합타운.원효로우체국,126.9669291,37.5386139
용산e편한세상,126.9654678,37.53746206
남정초등학교,126.9636632,37.53631875
원효로2가,126.9629911,37.53623744
원효로2가사거리,126.9610704,37.53493384
원효로3가,126.9581798,37.53404076
원효로3가,126.9583248,37.53379572
용암초등학교입구.이태원주공아파트,126.9886646,37.54411594
이태원동남산대림아파트.용산동아파트,126.98748,37.53987437
용산한신아파트,126.9871086,37.53980547
해방촌,126.9866091,37.53781774
